"Account Name","AE Forecast Notes"
"Apex Semiconductor Corp","Mar 23, 2026 - Health: 9  healthy. The primary technical risk (loss of .jar export) was mitigated via a Python-based notebook workaround delivered on 3/19. Champion (Sam Whitfield) is fully aligned on the $15k renewal and the $330/hr service rate.

Update: Held technical walkthrough with Priya Patel on 3/19; notebook provided and currently being tested by their team. JP confirmed the renewal price and directed us to the ProcureNet portal for procurement. Currently coordinating with Dana Chen (AR) to swap portal admins and Rachel (Deal Desk) on an ALARA ticket to finalize the custom rate language in the quote.

Next 3 steps (to commit):

Quote Finalization: Clear the ALARA ticket and receive the updated PDF order form from Rachel.

Procurement Alignment: Confirm Sam/Apex Procurement triggered the ProcureNet invite to [internal AR email] for Dana Chen.

Signature: Send finalized PDF to JP for signature once the portal admin swap is confirmed."
"Meridian Analytics LLC","4/9/26: Customer health: 5. Technical gap: Feedback in terms of real time predictions is poor. Looks like customer has that big gap and is currently evaluating Snowflake which is giving them better accuracy and speed. Update/last action: 4/9 Asked to reschedule the meeting with Mike, CTO and Nathan. Follow up on ML Package and logs for us to prep the demo. 4/8: Sent over a follow up on the renewal asking for their feedback and plans. 

Action items:
1. Inference side: Investivate logs from Mike, CIO (Jamie K) 
2. Get ML package and sample data to build test run to reproduce the latency (Derek Sullivan) 
3. Demo of scoring code inference compared to PPS (Tyler Brooks) 
4. Alignment on agentic
5. Check on renewal proposal

4/6 Rescheduled meeting with Mike, CTO and Nathan. Follow up on ML Package and logs for us to prep the demo. 

4/1 asked Nina to help us send an email to Mike, CTO. If I don't hear back from the CIO by Thursday, I will follow up. 

 3/30 - We had a call scheduled tomorrow, but since Nathan, SVP of Risk is ooo this week, he asked to postpone it until 4/6. Several people are involved, including Tom, Amid, Jamie K., Lars Jensen, Derek Sullivan, and Tyler Brooks. 

On 3/25 we received the data we need from Mike, CIO, and we will meet on 3/25 with our product engineering teams.
Next steps.

3/25: meeting with Mike and Nathan (we invited our product engineering team and Jamie K) for a product-focused call to review performance enhancements and governance capabilities in more dept.

3/16/26: Confirmed with Mike that we will meet on 3/24. We invited our engineering team and Jamie K.
Next steps:


3/12/26: On 3/9 sent over an invite to Mike and Nathan to meet on 3/10.

3/6/26: Sent a note to Nathan on 3/5 and Tom sent over follow up to Mike on 3/4

02/26/25: Met with Mike, CIO and EB, to discuss feedback about real time predictions and possible solutions.

02/25/26: Internal prep for Valid call on 02/26 with Mike, CIO.

02/11/26: Agreed with Mike, CIO, to meet on 02/20.

02/10/26: no show and didn't respond to reschedule. 

02/09/26: Nathan and Mike declined invite. Working to reschedule technical Q&A session with Jamie K.

02/02/26: Followed up with Nat to reschedule call with Mike and Jamie K. Sent an invite to meet on 02/09 to go over technical inquiries.

01/14: Met with CIO and Nathan who shared some concerns about the real time predictions. We will have a technical call at the end of the month to go over their concerns and share the pros against Snowflake...

12/09: Sent the proposal to Michael and Nathan

12/08: Working with Nat to coordinate a meeting mid January to go over the renewal.

12/01/2025:
Emailed Nathan that I will start working on the proposal and invited him to meet about 2026 goals


10/09 Will reach out next week to check if he wants a proposal for the renewal. 09/24 Met with Nathan to introduce myself as their new AM."
"Summit Partners Group LLC","4/9/26: Customer health: 8. Partner led customer.
Update: 4/8: Resent order form to partner. Waiting on customer's PO.
Next steps:
1. Follow up with the partner on order processing. 

4/1: Sent updated order form to partner with expiration date 4/17.

 On 3/31 Kevin, Summit Partners partner, confirmed that they will sign by 4/17, they are just waiting on the sell through evidence from the customer.

On 3/25 send the order form to Chris, CEO, via DocuSign and asked Kevin about status of 2 final approvals.

3/13/26: Kevin, partner, confirmed on 3/13 that they may be able to process renewal by end of March.

3/12/26: On 3/9 confirmed with Kevin the contact info of the CEO [partner contact email] who will sign the DocuSign once customer sends over the PO

3/5/26: Confirmed with Kevin that customer committed to renewal

02/26/26: Confirmed with partner, Kevin, on 02/26 that they sent out the proposal to the customer. He said: ""Quote is in their hands for processing. They take a while, but I expect an on-time renewal. "" Customer committed to the partner about renewal. 
Next steps:
1. Follow up with the partner on order processing. 

02/02/26: Emailed Kevin from Summit Partners to check on any updates about the renewal

12/08/25: Sent some resources to Kevin so he can prepare the proposal and additional content to the client.

12/03:

Emailed Summit Partners, Kevin and Karen, to confirm capacity for the renewal so I can prepare the proposal."
"Copal Foods S.A.","4/9/26: Customer health: 4. Value gap and engagement: Previously partner led account. Team we used to work with liked Google over DR. We are trying to gain the business of a new DS leader and currently helping to explore the tool.
Update: 4/8 Sent special pricing to partner so they can send out discount to customer. 4/7 Send a note to customer asking for reconsideration on discounted pricing for renewal including gen ai sku.
Next steps:
1. Send special pricing to see if we can save them.
2. Partner to follow up with Davido, EB, on next steps.
3. Review with Catalina, DS Leader, Copal Foods requirements to implement agents.
4. Coordinate enablement sessions for Marco, new end user and data scientist.

4/6 - checked with partner Jorge if we hear back from Davido, CDO. 

4/1 - Asked Davido, CDO, if we can meet to discuss discounted pricing for renewal including gen ai sku.

On 3/30 I met with the leader of DS who said the decision was up to the CDO. 

On 3/27 Davido, CDO, sent a note that they won't renew based on their current Google tech stack. 

3/25/26: Quickly spoke with Catalina, ds leader, and she helped me coordinate a call with Davido, CDO, on 3/26 to discuss the renewal.

We met on 3/17 for an agentic demo.

3/12/26:  On 3/9 I met with Catalina, new DS leader, and prepped for a follow up call with Davido, EB, on 03/17.  

Sent invite to meet on 3/9. Emailed the customer on 3/4. Texted Jorge, partner, to align on next steps and check if he shared pricing.

02/26/26: Met with Copal Foods on 02/24 for an end to end demo. 

02/17/26: Emailed proposal to partner. We will present proposal to customer on 02/24.

02/12/26: Follow up call on 02/24.

02/11/26: Pending approval for quote (Waiting on Tom).

02/10/26: Waiting on proposal to be approved so I can send over to the partner. 

02/06/26: Met with new leader, Catalina, and possible end user, to review DR capabilities. We have a technical follow up call on 2/24 to see if DR is a good fit for Copal Foods.

02/02/26: Invited Carlos and Jorge from ChannelCo to connect this week. 

01/15/26: Carlos, Data Science Leader, reported that they won't be renewing as they want to move to Vertex AI to reduce expenses. They asked about DR through Google Marketplace but we couldn't offer it as they are MTS. I am trying to schedule time with them. 


12/17/25: Followed up with Jorge.

12/02/25: Met Jorge the partner to plan the next qbr with the client. They are using GCP and Google is trying to sell their platform. Partner and I will work to expand to different teams and showcase agentic ai as well sometime on 12/11 or 12/12"
"Clearfield Finance LLC","Apr 2, 2026 — Health: 6.5 — Weak Upside

Customer health: 6.5. Health is suppressed by 0% platform usage (on new builds) following a staff transition and current tax-season resource constraints. Champion (Marcus) is engaged and committed to a 3-year ""right-sized"" renewal, but the Value Gap remains the primary risk until the CEO (Derek) approves the 2026 roadmap spend.

Update: Sent pre-PTO ""bridge"" email to Marcus today to secure meeting holds for renewal. Currently securing Deal Desk approval for a 3-year ""Success Bundle"" ($74k ARR)  bundled engineering hours to execute a ""Shadow Build"" of their delinquency model.

Next steps (to commit):

Finalize Deal Desk approval to discount platform base to absorb mandatory service attach.

Confirm  review session with Marcus and Derek (CFO)."
"Palatine Auto Finance NA LLC","Apr 08, 2026 

Health score: 6
Issue: Value gap

What Changed Week Over Week (WOW)
Palatine confirmed intent to downsell MLOps and deployments in favor of AWS. We have scheduled an executive alignment call for 4/14 to demonstrate a ""better together"" story with AWS and share our Agentic roadmap to protect the MLBuild/Citizen Data Science portion of the renewal.

The 5 Checks

Tech Win (TW): Confirmed. Customer validated preference for MLBuild and low-code/no-code for citizen data scientists. Currently losing MLOps to AWS; technical win now depends on proving compatibility in a hybrid stack.

Legal Complete (LC): Not Started. Documentation for the reduced software scope has not yet been initiated.

EB Signoff (EBS): In Progress. Champion (Rashid) is engaged for next week’s executive call. Formal sign-off on the downsized renewal path is pending the outcome of the strategy session.

Chriseline Understood (TU): In Progress. Renewal is targeted for May. Specific internal procurement and signature milestones for the new scope are being confirmed.

Pricing Agreed (PA): Not Started. Pricing scenarios for the MLBuild-only renewal have not yet been presented or reviewed.

Remaining Risk
Significant downsell risk as the customer migrates core MLOps capabilities to AWS. The platform's long-term stickiness depends on successfully positioning DataDavidot as the primary experimentation and agent-building tool.

Next 3 Customer-Visible Steps

Exec Alignment Call (AWS Integration + Agentic Roadmap) -> DR Exec + Jordan -> Apr 14

Technical scope alignment for MLBuild-only renewal -> Jordan + Rashid -> Apr 16

Present updated pricing for the reduced renewal scope -> Jordan -> Apr 17

Apr 02, 2026 - Meeting with Palatine team tomorrow for questions around the orderform I sent over to them.

Mar 18, 2026 
Customer health: 8

Customer has a lot of usage and we have a verbal commit to renew. We just met with them last week and are working to set up an enablement session for new users in the coming weeks.

Next 3 steps (to commit): 
1. Check in on how the OF looks if everything looks okay (they have a lot of specifics on it they have had in the past)
2. Follow up to book enablement session
3. Get order form signed and back ASAP.

Mar 12, 2026 - Met wit the team yesterday to execute account handoff. Handoff has taken place and we've had the renewal conversation.

Next Steps:

Setup enablement with Rashid (EB) and Nisha (user) to give them a fresh walkthrough of the platform.

Work with our deal desk team to finalize contract for them and ensure it is sent over in the format they request.

Send contract over by the EoW next week to ensure we give them time to ask questions and push it to correct people.

Feb 26, 2026 - Meet with Rashid and Sumo (power user) to learn about what's coming up in initiatives

Discuss upcoming renewal.

Understand if there's genai interest.

02/09/2026

Palatine AF has given verbal commit to renew; AOER secured in January 2026; May 2026 renewal will include a $75k user and deployment expansion"
"Whitmore Insurance Group Inc.","Apr 2, 2026 - Health: 7 - Engagement/M&A Risk

Technical value is high following the recent production launch of the Private Flood Pricing models ). However, health is impacted by the transition to an unassigned CFDS support model and potential tool consolidation risk following the acquisition by Coastal Risk Partners (Nationwide Group).

Update: Facilitated transition sync with Ryan Mitchell (Technical Lead) and established a direct line to Sarah Lawson (Business Lead) and Kelly Turner (New Procurement Lead). Submitted Legal ticket LR0089234 to research the requested parent-level MSA for Nationwide/Arrow Group to align with their new corporate requirements.

Next 3 steps (to commit): 1. Resolve MSA verification with Legal/Deal Desk (Ticket LR0089234) to address Kelly Turner's procurement blockers.
2. Conduct Renewal Strategy Sync with Sarah Lawson and Kelly Turner (week of 4/13) to validate 2026  roadmap.
3. Deliver ""Production Success"" value summary to James Whitmore (President) highlighting the regulatory necessity of DataDavidot’s explainability features to defend against parent-company consolidation."
"Dalton Equipment Co","11:54 AM Apr 07, 2026 
Health score: 8

What Changed WOW: Evaluating contract on April 28, flat renewal or renewal + adding TS

TW: Confirmed
Evidence: Predictive solution validated with technical stakeholders and currently in production use.

LC: Confirmed
Evidence: Confirmed no legal review needed for predictive renewal. 

EBS: Confirmed
Evidence: EB Name Claire Henderson confirmed intent to renew during  discussion kast weej.

TU: In Progress
Notes: Approval process and signature timeline still being confirmed with EB. She said after finalizing at the end of this month she was sure we'd have enough time to get it done on their end

PA: Not Started
Notes: Pricing options shared; customer reviewing right-sizing and TS expansion scenarios.

Remaining Risk: pricing alignment + Software package not yet confirmed with EB.

Next 3 Customer-Visible Steps
Pricing/Software review  → Dalton → Apr 28
alignment discussion with EB → Customer + DR → 4/28
Pricing scenario review and selection → Customer → 4/28

Support Needed: None at this time


Mar 31, 2026 , 9:31 AM - The account is stable with a clear path to renewal. The client is currently undergoing a two-year migration to Microsoft Fabric, creating a strategic opportunity for us to position DataDavidot as a key integration partner. Business adoption is healthy, with users actively trusting model outputs and a steady pipeline of one new use case per quarter.

Renewal & Expansion Strategy
Katie (EB) has requested a 1-year renewal to maintain flexibility during their infrastructure shift. While the base renewal is secure, we are pursuing an upsell by decoupling Chrise Series from the previous 10-deployment requirement. I will present two options on April 28th: a flat renewal and an expanded feature set. Procurement risk is low, as the client has confirmed internal timelines are not an issue.

Next Milestones

April 28 @ 10:00 AM ET: Roadmap deep dive and quote review with Katie and Meena.

Early May: Finalize contract signatures ahead of the May 27th expiration.


Mar 18, 2026 -
Customer health: 10

Main user and EB are both very happy with the platform. Business is adopting the results well and happy with what they're seeing. They have a pipeline of use cases they want to knock out 1 per quarter

Next 3 steps (to commit): 
1. Meeting with EB in the coming weeks when she's back from vacation to see about adding on MLOps.
2. Davidson Equipment who is similar to what they do but in another region wants to work with them as they are both CAT dealerships but need TS to do that, so going to attempt to upsell them there.
3. Get OF out following that conversation.

Mar 11, 2026 - Met with our main user there last week, the EB had to skip last minute due to an internal call. Next best actions for this account:

1. Find time to meet with Katie (EB) to further discuss initiatives within their organization
2. During that call ask Katie about the renewal, based on Meena's conversation with us (main user) we are very optimistic about the renewal. She told us they're in the process of rolling out a 2nd use case model, the first one has been going well and they have a pipeline of use cases they want to keep rolling out, ideally one a quarter.
3. Discuss adding in TS so they can further work with Davidson Equipment who is also in the same vertical of business and a CAT dealership.

Feb 26, 2026 - 

Next Best Action 1: The ""New AE"" Value Alignment Call
A formal ""Intro & Roadmap"" session with Claire Henderson. Instead of a standard ""checking in"" call, frame this as a strategy alignment to support her second year as Sr. Director.

The Goal: Confirm her priorities have shifted from ""settling in"" to ""expanding impact."" Mention that you’re aware of the Thompson/Mark collaboration interest and want to ensure Dalton isn't being throttled by technical gaps.

Forecast Impact: Validates the Upsell opportunity early in your tenure.

Next Best Action 2: The ""Technical Blocker"" Audit (with Raj & Jenna)

The Move: Host a technical deep dive with Jenna and Lalima, supported by Raj.

The Goal: Get specific on the ""Data Set Limits."" If they are hitting ceilings on their maintenance predictions, we need to quantify the cost of that friction.

Forecast Impact: Moves the Chrise series (TS) add-on from a ""nice-to-have"" to a ""blocker-removal"" necessity in the CRM.

Next Best Action 3: The ""Thompson Synergy"" Proposal
The Move: Work with Thompson to understand exactly what code Mark wants to trade.

The Goal: Present a ""Success Blueprint"" to Katie showing exactly how adding TS allows her team to instantly ingest and utilize the work Thompson has already done.

Forecast Impact: Creates a Compelling Event. The renewal is no longer just about Dalton; it’s about their ability to collaborate across the broader org.

10/24/25
1. Have you started renewal discussions? N 
- THey just renewed in Q2
- We are talking about expanding to business critical
- They are using actively and are engaged

3. Have we secured a C-level or IT meeting to discuss Agentic solutions? N
- Low marutirty customer just coming up to speed on predictive, not ready for agentic

4. Is the customer's estimated ROI for predictive or agentic solutions documented? N
- Just got first models into production, working on calculating that now"
"Verdant Health Inc.","Apr 08, 2026 -

Renewal Forecast Update

Health score: 1

What Changed WOW
No new signal or engagement; sent an Outreach Framework (OF) to Jordan Miller (CTO) on Mar 12, but he remains completely unresponsive. Opportunity moved to Omitted due to total lack of communication.

The 5 Checks

TW: Not Started - Notes: Customer is very quiet about usage; small team with limited bandwidth. ROI for predictive/agentic solutions is not currently documented or validated.

LC: Not Started - Notes: No legal or procurement discussions have commenced.

EBS: Not Started - Notes: Jordan Miller (CTO) is the EB but has not responded to any outreach since the last renewal 2 years ago. Relationship is extremely single-threaded.

TU: Not Started - Notes: No confirmed timeline. Historically, this customer ignores outreach for months and signs ""the week of"" expiration.

PA: Not Started - Notes: Renewal discussions have not started; pricing/value narrative has not been presented.

Remaining Risk
Severe risk due to zero engagement and being single-threaded with an unresponsive CTO. While historical behavior suggests a last-minute sign, there is no current verbal or written commitment.

Apr 02, 2026  - Still attempting to engage with Alex, still 0 engagement

Mar 18, 2026 
Customer health: 1
 Still no engagement back from EB.

Next 3 steps (to commit): 
1. Continue Outreach
2. Keep an eye on usage
3. Keep bumping EB


Mar 17, 2026 - Continuing outreach, no known TB, very single threaded no one talks to us. 

Mar 13, 2026, 12:27 PM - Sent out an OF to Alex yesterday, he's been very unresponsive. I have this in Omitted at this point due to their lack of engagement and the lack of communication. I sent the OF in attempt to see if that would spark conversations with him.

Feb 23, 2026 -
WHO : Jordan Miller, CTO
WHAT : I've had no communication with him since taking over.
WHAT : Last renewal he came to us the week of and decided to sign, same situation. He didn't respond for months then came back right before.
WHEN : He's not responded to us since they last renewed 2 years ago.
WHO : Jordan Miller, CTO, EB

Nov 05, 2025 

1. Have you started renewal discussions? At this time we have not, planning to bring it up at our next EBR.
2. Have we received a clear verbal commitment to renew? No, Alex was very on the fence last renewal, and he's a tough customer to get ahold of for check in's.
3. Have we secured a C-level or IT meeting to discuss Agentic solutions? Our main contact is the CTO, but they're very early in their AI journey. I think it would be worth showing agentic especially because Verdant Health was recently acquired by Labcorp and now has a little more spend.
4. Is the customer's estimated ROI for predictive or agentic solutions documented? GenAI was a big intiative for them last renewal because they were wanting to really automate as much as possible. As we know GenAI didn't workout as expected in the industry. They have a small team and little bandwidth, but they are very quiet about how they use us."
"Crestline Industrial Systems Inc.","Apr 08, 2026 
Health score: 2

What Changed WOW:
Customer has pivoted from a definitive non-renewal to reviewing a ""right-sized"" $15k ARR proposal. Provided SOC 2 per Marks request earlier this week

The 5 Checks

TW: Not Started Evidence: Customer has cited a lack of ROI and engagement for 8 months; enablement sessions have been consistently cancelled.

LC: In Progress Evidence: Order form for $15k sent; manual delivery of unredacted SOC 2 in progress to satisfy security requirements.

EBS: In Progress Evidence: Mark (EB) acknowledges the tool's power but is currently reviewing the proposal with ""higher-ups"" for final intent.

TU: Not Started Notes: No specific signature window or internal procurement timeline has been confirmed by the customer.

PA: In Progress Notes: Proposals for $15k/yr (2 and 3-year options) have been sent and are currently under internal review.

Remaining Risk:
High risk of churn despite the lower price point. The customer has spent the last 6-8 months stating they do not intend to renew, and engagement remains low.

Apr 02, 2026 - Still looking at keeping them on at a smaller contract. Working to get Mark a SOC 2 Unredacted, for some reason SecureShare did not work for him.

Mar 18, 2026 2:55 PM , Order form sent for 15kARR to Mark, he is reviewing with higher ups and will get back to me.

Mar 18, 2026 -
Customer health: 2

Have told us for about the last 6-8 months they do not intend to renew. Our EB thinks we're a powerful tool, but they have had lack of engagement and time on building out a successful project with ROI. Last week he did mention we could send over a ""rightsized"" contract, so I sent some proposals for 3 and 2 years at 15k/yr.  So far they've had no engagement, we've tried enablement sessions and they always cancel.

Next 3 steps (to commit): 
1. Follow-up with Mark to see how he's thinking about the proposals
2. Work to finalize a deal with them to keep them on if possible
3. Work to revisit others in the business or propose a use case ideation session with Mark if we can get a commit.

Mar 13, 2026 - Sent a downsized offer to Mark (EB) at HYG, he is a fan of the tool but they have not been able to find success. I'm hoping to get him in on a downsell to keep them around, and we've also offered a use case ideation session as part of the agreement if they agree to continue the contract.

Feb 23, 2026 
WHO : Mark Simmons, Manager of IT Innovation
WHAT : Spoke with him in December, we had time to connect and he canceled and did not ever reschedule, despite my many efforts
WHAT : I've tried working with partners, they've just not seen much success during their times as customer. Mark mentioned last call we had he was getting pressure from leadership to show value they've found with us and they just haven't found value. 
WHEN: I've offered executive intros a few times, he last told me he may reach out in late Q1 to do this. I just bumped him again today to see if that's of interest to them.
WHO : Raj Kumar, CIO. I have tried to engage with him, but have received no response at this point in time.


Dec 01, 2025 - Working to setup a potential meeting between Tom and champion there in attempt to save this account.

Nov 05, 2025 

1. Have you started renewal discussions? Yes, we're working to get the new user enabled to try and help them save the contract. Our Champion is a big DataDavidot fan, but they've had no use cases get up and running and if we cannot get anything working soon he's told me they will have to churn as he can't justify investment.

2.Have we received clear verbal commitment to renew? We're in crunch time with them currently, they've been with us for a few years and have had 0 use cases get off the ground. Monday 11/10 we're enabling a new user they have to try and get something tangible by May.
3. Have we secured a C-level or IT meeting to discuss Agentic solutions? We're currently working to save the contract on the predictive side, and simultaneously looking into C-suite and IT folks to try and expand. Our team for predictive is very at risk.
4. Is the customer's estimated ROI for predictive or agentic solutions documented? Right now the customer has directly told us they have no ROI to show"
